"security_set_id","etf_id","weight","startDate","endDate"
"1","47","0.22","2024-10-01",""
"1","40","0.2","2024-10-01",""
"1","24","0.2","2024-10-01",""
"1","4","0.2","2024-10-01",""
"1","41","0.1","2024-10-01",""
"1","26","0.08","2024-10-01",""
"2","40","0.2","2024-10-01","2025-12-22"
"2","47","0.1","2024-10-01",""
"2","24","0.22","2024-10-01","2025-12-22"
"2","36","0.2","2024-10-01","2025-12-22"
"2","4","0.2","2024-10-01","2025-12-22"
"2","26","0.08","2024-10-01","2025-12-22"
"3","33","0.15","2024-10-01",""
"3","20","0.1","2024-10-01",""
"3","16","0.25","2024-10-01",""
"3","17","0.5","2024-10-01",""
"4","15","0.2","2024-10-01",""
"4","22","0.2","2024-10-01",""
"4","11","0.3","2024-10-01",""
"4","37","0.2","2024-10-01",""
"4","25","0.1","2024-10-01",""
"5","35","0.25","2024-10-01",""
"5","27","0.25","2024-10-01",""
"5","29","0.25","2024-10-01",""
"5","39","0.25","2024-10-01",""
"6","32","0.15","2024-10-01",""
"6","46","0.2","2024-10-01",""
"6","43","0.1","2024-10-01",""
"7","42","0.36","2024-10-01","2025-11-04"
"7","13","0.2","2024-10-01",""
"7","6","0.2","2024-10-01",""
"7","2","0.18","2024-10-01","2025-11-04"
"8","18","0.4","2024-10-01",""
"8","30","0.1","2024-10-01",""
"8","48","0.2","2024-10-01",""
"8","19","0.1","2024-10-01",""
"8","34","0.1","2024-10-01",""
"8","14","0.1","2024-10-01",""
"9","18","0.2","2024-10-01",""
"9","30","0.2","2024-10-01",""
"9","48","0.1","2024-10-01",""
"9","19","0.2","2024-10-01",""
"9","34","0.2","2024-10-01",""
"9","14","0.1","2024-10-01",""
"10","18","0.2","2024-10-01",""
"10","30","0.2","2024-10-01",""
"10","19","0.2","2024-10-01",""
"10","34","0.2","2024-10-01",""
"10","14","0.2","2024-10-01",""
"11","48","0.4","2024-10-01",""
"11","8","0.2","2024-10-01",""
"11","12","0.1","2024-10-01","2025-11-07"
"11","9","0.2","2024-10-01",""
"11","28","0.1","2024-10-01","2025-11-07"
"12","48","0.4","2024-10-01",""
"12","8","0.2","2024-10-01",""
"12","12","0.1","2024-10-01","2025-11-07"
"12","9","0.2","2024-10-01",""
"12","31","0.1","2024-10-01","2025-11-07"
"13","47","0.33","2024-10-01",""
"13","38","0.22","2024-10-01",""
"13","5","0.1","2024-10-01",""
"13","41","0.2","2024-10-01",""
"13","26","0.15","2024-10-01",""
"6","45","0.3","2024-10-01",""
"6","44","0.1","2025-05-02",""
"6","21","0.1","2025-05-02",""
"6","23","0.15","2024-10-01","2025-05-01"
"6","7","0.2","2024-10-01","2025-05-01"
"6","10","0.05","2025-08-05",""
"7","86","0.15","2025-11-05",""
"7","87","0.2","2025-11-05",""
"7","88","0.25","2025-11-05",""
"2","36","0.3","2025-12-22",""
"2","24","0.15","2025-12-22",""
"2","40","0.1","2025-12-22",""
"2","26","0.05","2025-12-22",""
"2","89","0.3","2025-12-22",""
"11","12","0.2","2025-11-07",""
"12","12","0.2","2025-11-07",""
